x, y, z, T
0.0393701,0.299213,0.0779974,0.0779974
0.0393701,0.307087,0.0793825,0.0793825
0.0393701,0.314961,0.080719,0.080719
0.0393701,0.322835,0.0820061,0.0820061
0.0393701,0.330709,0.083243,0.083243
0.0393701,0.338583,0.0844289,0.0844289
0.0393701,0.346457,0.0855632,0.0855632
0.0393701,0.354331,0.0866452,0.0866452
0.0393701,0.362205,0.0876741,0.0876741
0.0393701,0.370079,0.0886493,0.0886493
0.0393701,0.377953,0.0895703,0.0895703
0.0393701,0.385827,0.0904365,0.0904365
0.0393701,0.393701,0.0912473,0.0912473
